CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UNIJUR.02,Não cumprimento do prazo legal de 12 dias úteis ou do prazo alinhado com a DIREX,Operacional,ALTO,INERENTE,Parecer jurídico no prazo,Assessor Jurídico I,MTI,Não perder o prazo legal,1 - Implementação de controle de prazos - GAT                     2- Priorização e fluxo de trabalho - classificação de urgência)                                                                                                                                                                    3 - Monitoramento e comunicação,45726,46022,,EM ANDAMENTO,"25,00%",Realizado diariamente,,,,
R.UNIJUR.03,Falta de observância à legalidade e à moralidade,Conformidade,MODERADO,INERENTE,Interpretação inadequada da legislação; pressões internas e externas; falta de conhecimento e capacitação,Assessores jurídicos,MTI,Atendimento ao público,1 - Pareceres padrão                                                                                                                      2 - Jurisprudência e precedentes administrativos                                                                                             3 -  consulta interna e revisão cruzada                                                                                 4 - orientações normativas internas                                                                                 5 - uso de inteligência artificial,45726,46022,,EM ANDAMENTO,"25,00%",Realizado diariamente,,,,
R.ASSCOM.01,"Material jornalístico ou publicitário divulgado na mídia (imprensa e redes sociais) que possa prejudicar a reputação da instituição, seus diretores, gestores e colaboradores.",Operacional,MODERADO,RESIDUAL,Revisão de todas matérias para publicação,ASSCOM / Presidência,MTI,Para criar bom relacionamento com a imprensa e mitigar possíveis danos a imagem institucional.,"1 - Monitorar os principais veículos de imprensa de Mato Grosso. (contínuo)
2 - Estabelecer um fluxo de resposta rápida para esclarecer informações equivocadas na mídia. (sempre que necessário)
3 - Realizar Media Training com os principais porta-vozes da instituição. (antes de entrevistas ou sempre que necessário)
4 - Acompanhar e avaliar riscos de crise institucional junto à Direx ou Comitê de Crise. (contínuo)
5 - Enviar releases e oferecer pautas sobre as ações da MTI. (sempre que surgir pauta)
6 - Revisar e alinhar mensagens institucionais para garantir coerência na comunicação externa. (contínuo)
7 - Promover relacionamento com jornalistas e influenciadores do setor. (contínuo)",45658,46022,00,EM ANDAMENTO,"33,00%",,,,,
R.ASSCOM.02,Agir em desconformidade com a Lei Geral de Proteção de Dados (LGPD) e expor dados sensíveis ou sofrer com possíveis vazamentos de dados.,Conformidade,MODERADO,INERENTE,   Transparência,ASSCOM / Unidade Jurídica,MTI,Para que as informações disponibilizadas estejam em conformidade com a lei.,"1 - Monitorar sites, redes sociais e veículos de comunicação da MTI para evitar exposição indevida de dados. (contínuo)
2 - Participar de capacitações sobre LGPD com CGE, Ouvidoria e Unidade Jurídica. (mínimo - 1x ano)
3 - Submeter à Unidade Jurídica solicitações que possam ferir a LGPD antes da divulgação de informações. (sempre que necessário)
4 - Revisar conteúdos publicados para garantir conformidade com a legislação. (contínuo)
5 - Criar orientações internas sobre tratamento e divulgação de dados. (mínimo - 1x mês)
6 - Sensibilizar colaboradores sobre proteção de dados e riscos de vazamento. (mínimo - 1x mês)",45658,46022,00,EM ANDAMENTO,"33,00%","5 - JAN/FEV/MAR/ABR  [DIVULGADO]
6 - JAN/FEV/MAR/ABR  [DIVULGADO]",,,,
R.UGGOV.01,Risco de Resistência à Mudança,Estratégico,ALTO,INERENTE,Promover encontro semestral com corpo gerencial - para análise das práticas e seus resultados,Bruno,MTI,Apresentar a situação de implementação das práticas de gestão para maior engajamento,Elaborando material do evento e apresentando / interagindo no evento junto aos partícipes,45659,46022,00,,,,,,,
R.UGGOV.02,PLANO ESTRATÉGICO: Execução parcial do plano estratégico.,Operacional,ALTO,RESIDUAL,"RESULTADO: (GRUPO A * 0,3) + (GRUPO B * 0,7) = 100%

GRUPO A
a) Divulgar mensalmente os resultados no painel de Indicadores da MTI (12,5%/12) = 1,0417
b) Acompanhar evento mensal da DIREX (50%/12) = 4,167
c) Publicar os resultados na intranet - bimestralmente  (12,5%/6) = 2,0833
d) Disseminar cartaz de gestão à vista (12,5%) = 12,5
e) Publicar 2 matérias para os colaboradores (em conjunto com a ASSCOM) (12,5%/2) = 6,25

GRUPO B
a) Resultado dos indicadores estratégicos = 100%

HISTÓRICO PLANO ESTRATÉGICO
VISÃO QUANTIDADE
2024: 04/06 = 66,66%
2023: 03/06 = 50%
2022: 03/08 = 37,5%
2021: 06/10 = 60%
2020: 10/18 = 55,55%

VISÃO EXECUÇÃO
2024: 96,86%
2023: 89,62%
2022: 89,50%
2021: 93,20%
2020: 87,23%",Carlos,MTI,Promover a transparência e responsabilização das partes a fim de melhorar o nível de execução / alcance das metas estratégicas,Atuando de acordo com os cronogramas internos da UGGOV,45659,46022,00,EM ANDAMENTO,"33,33%",,,,,
R.UGGOV.03,AVALIAÇÃO DA GESTÃO: Baixo índice de conclusão das oportunidades de melhoria,Operacional,ALTO,RESIDUAL,"RESULTADO: (GRUPO A * 0,3) + (GRUPO B * 0,7) = 100%

GRUPO A
a) Divulgar mensalmente os resultados no painel de avaliação da gestão da MTI (5%/12) = 0,4167
b) Acompanhar evento semestral  da DIREX (20%)/2 = 10,0
c) Acompanhar evento bimestral no Comitê (50%)/6 = 8,33
d) Monitorar mensalmente as OM´S (25%)/12 = 2,08

GRUPO B
a) Percentual de conclusão das OM's = 100%

HISTÓRICO CONCLUSÃO OM
2023: 66,67%
2022: 64,81%
2021: 63,01%
2020: 19,64%",Carlos,MTI,Garantir que as OM´S priorizadas de fato sejam implementadas  ,Atuando de acordo com os cronogramas internos da UGGOV,45659,46022,00,EM ANDAMENTO,"46,02%",,,,,
R.UGGOV.04,PROCESSOS: Processos críticos não mapeados ou não atualizados,Operacional,ALTO,RESIDUAL,"a) Identificar os processos críticos (15%)
b) Definir um plano de ação para cada processo identificado (5%)
c) Atuar no mapeamento/desenho do processo (40%)
d) Orientar gestores para execução, monitoramento e avaliação dos processos (40%)",Bruno,MTI,Para melhorar a performance gerencial e os resultados da organização,"a) Verificando junto controle interno e UNICRS e posteriormente junto ao Diretor respectivo. A gestão de riscos e segurança da informação poderá fornecer insumos relevantes para determinação dos processos críticos, juntamente com o Diretor. 
b) Elaborando plano de ação para atuação dos processos críticos identificados
c) Orientando conforme metodologia de gestão de processos
d) Orientando gestores para a efetiva execução, monitoramento e avaliação",45659,46022,00,EM ANDAMENTO,"8,00%","Atuação em 2 agendas (março/25) com unicesi, ouvidoria e unicrs para aperfeiçoamento dos ""controles internos"" - fase 1 - atualização cadeia de valor destas unidades, fase 2 - identificação dos processos críticos e atuação em conjunto",,,,
R.UGPRO.01,Ausência de acompanhamento de projetos estratégicos.,Operacional,ALTO,RESIDUAL,Acompanhamento de Projetos Estratégicos,Gerente da UGPRO,MTI,Assegurar junto aos Times de Projetos as Entregas pactuadas junto aos Clientes.,"1 - Acompanhamento semanal junto com Diretor de TI e Gerentes de Áreas.
2 - Implementação de Melhorias no Service Now, com intuito de garantir uma fluidez na execução de monitoramento pelos Times de Projetos.
3 - Reunião semanal de Status Report com o Presidente dos Projetos Estratégicos.",45413,45443,R$ -,,"20,00%",,,,,
R.UGPRO.02,Contratualização com o parceiro da ServiceNow ,Operacional - Financeiro/Contábil,ALTO,INERENTE,Contratação de Horas e Serviços Técnicos com Parceiro Service Now.,Gerente da UGPRO,MTI,Para dar continuidade aos projetos do MTI,"1 - Alinhamento com a Presidência MTI, apresentando dados e necessidades de utilização de Horas Técnicas do Parceiro no Service Now.
2 - Confecção de TR de contratação de Horas e Serviços Técnicos do Parceiro da Service Now.
3 - Planejamento na utilização de Horas e Serviços Ténicos Contratados: Implantação, Suporte e Melhorias.",,45422,R$ -,,"20,00%","1. Termo de Referência encontra-se parcialmente confeccionado; Atualmente não existe orçamento previsto para contratação dos produtos e serviços, em contrapartido,a UGPRO em conjunto com a DTIC, está realizando levantamento dos contratos de TI que ainda não foram executados para utilização do Saldo Orçamentário e posteriormente apresentação de proposta a Presidência.

2. [08.07.2024] - Termo de Referência concluído e tramitado para análises e deliberações.",,,,
R.UGPRO.03,Mudanças na legislação e regulamentação,Conformidade,MODERADO,,Adequações a novas possíveis legislações ,Equipe da UGPRO,MTI,"As alterações nas Leis e Regulamentos Governamentais podem gerar impactos nos projetos em andamentos, exigindo ajustes nos planos e nas operações do PMO.","1 - Acompanhamento semanal junto com Diretor de TI e Gerentes de Áreas, levantando os potenciais problemas e riscos alinhados ao Cliente.
2- Atualização semanal do cronograma de execução física do Projeto.",45413,45443,R$ -,,"10,00%",,,,,
R.UGPRO.04,Mudanças nas demandas do mercado,Operacional - Financeiro/Contábil,MODERADO,,"Solicitar mais de um fornecedor externo de tecnologia, hardware ou servidores ",Equipe UGPRO,MTI,Para evitar falhas e riscos nos projetos ,1 - Sempre se atentando a mudanças no mercado.,,,R$ -,,"10,00%",,,,,
R.UGPRO.05,Problemas de integração de sistemas,Operacional,MODERADO,,"Gestão de Mudança em situações de integração de Sistemas com o Service Now, que devido a ausência de especificação e/ou refinamento das necessidades, podem impactar nas automações da ferramenta.",Equipe da UGPRO,MTI,"Impactos em rotinas de processos, utilização da ferramenta que podem chegar ao Cliente.",1 - Implementação de Gestão de Mudança de todas iniciativas de Melhorias no Service Now,,,R$ -,,"10,00%","1. Implementação não realizando, devendo ser iniciada a partir do momento da conclusão da aquisição do Contrato de Consumo de Horas e Licenças do SN.

2. Iniciativa cancelada, em decorrência de reestruturação de nova estratégia de execução de Contrato com Parceiro da ServiceNow.",,,,
R.UGPRO.06,Riscos de fornecedores (Fábrica de Software),Operacional,ALTO,,Adaptação e utilização de melhores equipamentos para comunicação,Equipe UGPRO,MTI,Para manter a clareza e e praticidade nas reuniões ,1 - Solicitando sempre manutenção dos equipamentos.,,,R$ -,,"10,00%",,,,,
R.UGPRO.07,Aculturamento na metodologia de gestão de projetos/ágil,Operacional,ALTO,,"Cultura engessada e sem engajamento 
a novos desafios, inovação e Gestão de 
Mudança",Equipe UGPRO,MTI,"A resistência à mudança dentro da organização pode 
dificultar a implementação bem-sucedida de novas 
tecnologias ou processos, exigindo esforços extras de 
gerenciamento de mudanças.","1 - Promover Workshop sobre o Service Now.
2 - Comunicação nas principais Melhorias implementadas no Service Now.
3 - Implementação de Melhorias que agreguem valor aos usuários do Service Now",45413,45535,R$ -,,"10,00%","1. Implementação de novo Fluxo de Projetos no ServiceNow, próximos passos é a realização de capacitação, em conjunto com a DTIC, aos usuário.

2. Readequação de prazo para dia 31.08.2024.

3. Divulgados em julho o Guia de Gestão de Projeros + Painel de Dados BIP - Boletim Informativo de Projetos.

4. Elaboração de material de treinamento para disseminação da MTI.

5. Alinhamento com a VAExpert a disseminação da metodologia ágil",,,,
DIRC,,,,,,,,,,,,,,,,,,,
R.UGVEN.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,,,Monitorar o catálogo da MTI e manter atualizado os preços dos serviços e produtos,,,,,,,,,,,,,,
R.UGVEN.02,Redução da Margem de Lucro ,Estratégico,,,Implementar plano de negócios,,,,,,,,,,,,DTIC,-,5
R.UGVEN.03,Serviços prestados sem cobertura contratual pelos Clientes,Operacional,MODERADO,RESIDUAL,Existem clientes sem contrato ou com contratos deficitários em serviços e/ou quantitativos prestados X serviços contratados,UGVEN,,"1. Não prestarmos serviço sem cobertura contratual ou com quantitativos menores  
2. Não termos problemas no faturamento
3. Priorização dos projetos contratados","- Negociar com os clientes para que seja elaborado aditivos de contrato ou novos contratos;
- Definir processos/procedimentos para cobrar e agilizar a contratação dos serviços",45313,45639,,,,Apenas Empaer sem contrato formal,,DTIC,,
R.UGVEN.04,Contratos não são assinados no prazo necessário,Operacional,MODERADO,INERENTE,Serviços prestados sem contrato,UGVEN,,Processo para contratação da MTI é lento e burocrático,"- Verificar outra forma de receber os serviços prestados pela MTI (Fundo de TI);
- Encaminhar o KIT contratação 
- Verificar parecer referencial da PGE",45336,45639,,,,Kits contratação em elaboração,,DTIC,,
R.UGVEN.05,Execução do serviço não compatível com a expectativa do cliente,Operacional,MODERADO,,Acompanhar o cronograma e as entregas dos serviços contratados,UGVEN,,Fazer as adequações do projeto e/ou prazos,Agendar reuniões sistemáticas (quinzenal ou mensal) de acompanhamento dos projetos,45313,45639,,,,Consultores iniciaram agendas com clientes em projetos em andamento,,DTIC,,
R.UGVEN.06,Não atualização de portfólio de serviços,Operacional,,,Revisar  Catálogo de serviços e preço dos produtos para sermos competitivos com o mercado,UGVEN,,Portfólio de serviços desatualizado,"Revisando o portfólio da MTI, mantendo os serviços atualizados e verificando os preços praticados estão adequados com os valores de mercado",45313,45639,,,,"catálogo aprovado Direx, porém necessita de constante acompanhamento",,DTIC,,
R.UGVEN.07,Entregas dos serviços das parcerias fora do prazo acordado ou de baixa qualidade,Operacional,MODERADO,,Acompanhar o cronograma e as entregas dos serviços das parcerias,UGVEN,,Fazer as adequações do projeto e/ou prazos,Agendar reuniões sistemáticas (quinzenal ou mensal) de acompanhamento dos projetos,45313,45639,,,,"No que tange ao comercial, a equipe de vendas e pós vendas estão realizando agendas com clientes ",,,,
R.UGVEN.08,Frustração da realização das receitas previstas,Operacional,,,"Celebrar novos contratos com os clientes
Celebrar contratos dos serviços/quantitativos sem cobertura contratual",UGVEN,,Aumentar a receita dos serviços,"- Identificar as oportunidades com as novas parcerias e os clientes que não tem serviços todos os serviços disponíveis.
- Celebrar novos contratos com os clientes
atualizar no Infocenter os ativos que não estão cadastrados corretamente e celebrar contratos ou aditivos dos serviços/quantitativos sem cobertura contratual",45313,45639,,,,Novas propostas e contratos oriundos de parcerias estão surgindo.,,,,
R.UGENP.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,MODERADO,RESIDUAL,Realizar reuniões bimestrais para monitorar a qualidade dos serviços e produtos das parcerias,,,,,,,,,,,,,,
R.UGENP.02,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,MODERADO,RESIDUAL,Monitorar os catálogos das parcerias e manter atualizado os preços dos serviços e produtos,,,,,,,,,,,,,,
R.UGENP.03,Redução da Margem de Lucro ,Estratégico,MODERADO,RESIDUAL,Avaliar a rentabilidade dos produtos e serviços das parcerias estratégicas,,,,,,,,,,,,,,
R.UGENP.04,Redução da Margem de Lucro ,Estratégico,MODERADO,RESIDUAL,Execução do Plano de Parcerias,,,,,,,,,,,,,,
R.UGENP.05,Não haver captação de novas ideias,Operacional,MODERADO,RESIDUAL,"Criar um sistema estruturado para a coleta, avaliação e implementação de novas ideias.",Aílton Machado,MTI,Um sistema de gestão de ideias ajuda a organizar o processo de captação e seleção das melhores ideias.,"Divulgar o programa nos canais da Empresa
Divulgar nos eventos realizados pela MTI
Incluir os colaboradoradores no Sistema de Gestão de gamificação",45444,45657,,,,Sistema MTIGen em fase final de homologação. Testes em Produção com PILOTO com a UGPES.,,,,
R.UGENP.06,Não cumprir o planejamento da demanda,Operacional,MODERADO,INERENTE,Realizar planejamento e monitorar as priorizações da camada estratégica da MTI ,Aílton Machado,MTI,Para otimizar a força de trabalho alinhado ao interesse estratégico da MTI ,"Realizar reuniões e monitoramento das ações da DIRC
Alinhar sobre as priorizações da MTI


",45352,45657,,,,Reuniões semanais com o Diretor DIRC,,,,
R.UGENP.07,Falta de recursos para eventos planejados,Operacional,MODERADO,INERENTE,Estabelecer um processo claro de gestão de recursos que permita o acompanhamento e a alocação adequada dos recursos para os eventos.,Aílton Machado,MTI,Uma gestão eficiente dos recursos ajuda a evitar desperdícios e a garantir que os recursos estejam disponíveis quando necessários.,"Utilizar ferramentas de gestão de projetos, definir responsabilidades claras, monitorar o uso de recursos e fazer ajustes conforme necessário.",45352,45657,,,,,,,,
R.UGENP.08,Deficiência na entrega de demanda priorizada innovation day,Operacional,MODERADO,RESIDUAL,"Engajar e envolver as equipes responsáveis pela entrega das demandas priorizadas, garantindo que estejam comprometidas com os objetivos do Innovation Day.",Aílton Machado,MTI,O engajamento das equipes é fundamental para garantir a colaboração e o foco na entrega das demandas prioritárias.,"Realizar sessões de brainstorming, incentivar a comunicação aberta e criar um ambiente de trabalho colaborativo para motivar as equipes.",45352,45657,,,,"Conversas diárias com membros da equipe, sobre aspectos pessoais/emocionais e profissionais.",,,,
R.UGENP.09,Não haver participação de trabalhos em congressos ,Operacional,MODERADO,RESIDUAL,"Conscientizar os colaboradores sobre os benefícios e oportunidades de participar em congressos, como networking, aprendizado e visibilidade.",Aílton Machado,MTI,A participação em congressos contribui para o desenvolvimento profissional dos colaboradores e para a disseminação do conhecimento da empresa.,"Realizar palestras internas, compartilhar casos de sucesso e incentivar a participação ativa dos colaboradores na busca por oportunidades de apresentação em congressos.                                                                                   Apoiar Financeiramente e Logisticamente os Colaboradores",45352,45657,,,,,,,,
R.UGENP.10,Não oferecer soluções inovadoras de acordo com o mercado,Operacional,ALTO,INERENTE,Acompanhar de perto as tendências e as mudanças no mercado de Tecnologia da Informação para identificar oportunidades de inovação.,Aílton Machado,MTI,Estar atento às demandas e preferências dos clientes permite antecipar as necessidades do mercado e desenvolver soluções inovadoras.,"Realizar análises de mercado, participar de eventos do setor, e manter contato com clientes e parceiros para obter feedback sobre tendências emergentes.",45352,45657,,,,"Participação em evento de TI, agendas com parceiros sobre tendências e oportunidades. ",,,,
R.UGENP.11,Não haver participação de colaboradores nos eventos internos e externos,Operacional,MODERADO,RESIDUAL,Personalizar a comunicação e a programação dos eventos de acordo com os interesses e necessidades dos colaboradores.,Aílton Machado,MTI,Eventos relevantes e alinhados com as expectativas dos colaboradores aumentam o engajamento e a participação.,"Realizar pesquisas de interesse, segmentar a programação dos eventos, e oferecer opções variadas que atendam às preferências da equipe.",45352,45657,,,,Busca com outras áreas sobre tema e palestrantes para as agendas do Café Tech e Tech Talk,,,,
R.UGENP.12,Não evolução de contratações dos produtos disponibilizados através de parcerias da MTI,Operacional,ALTO,RESIDUAL,Estabelecer métricas de desempenho e monitorar regularmente a aceitação e o uso dos produtos disponibilizados por meio das parcerias.,Aílton Machado,MTI,Parcerias sólidas e transparentes são essenciais para a evolução contínua dos produtos e para a manutenção de uma rede de colaboração eficaz.,Monitorar possibilidades de novos parceiros para poderem eventualmente possibilitar a continuidade de negócios.,45352,45657,,,,20 Empresas Entrevistadas: Positivo Tecnologia; Italtel Brasil; Norden IT; Pentágono TI; MTM Tecnologia; EVO; BA Group e Teltec; Palo Alto;  Positivo; Thales; PPN Tecnologia; Autodesk; LanLink; Pars/Adobe; Bricon It Solution; Invillia; Energy Telecom; Chip Cia/DELL; 9NET/AWS; VALID,,,,
R.UGENP.13,Vazamento de dados sigilosos referentes ao processo de parcerias e ideias de inovação,Operacional,CRÍTICO,RESIDUAL,Participar de treinamentos regulares sobre segurança da informação e a importância da proteção de dados sigilosos.,Aílton Machado,MTI,"conscientização dos colaboradores é essencial para prevenir erros humanos, phishing e outras ameaças internas.","Participar de campanhas de conscientização, simulações de phishing, e orientar os colaboradores sobre boas práticas de segurança.                                                                                       Fomentar políticas de acesso baseadas em funções, criptografar dados sensíveis e monitorar as atividades de acesso e uso dos dados.",45352,45657,,,,"Worshop sobre LGPD;                                                  Participação nos fóruns de LGPD;                          Participação em pesquisa;                             Revisão do compartilhamento de pastas e arquivos da UG, dos processos de parceria estratégica.      ",,,,
R.UGENP.14,Direcionamento de um processo de parceria ou chamamento público,Operacional,MODERADO,RESIDUAL,"Assegurar que o processo de seleção seja conduzido de forma imparcial, sem favorecimentos ou direcionamentos indevidos.",Aílton Machado,MTI,"A transparência fortalece a credibilidade da empresa, demonstra a lisura do processo e permite a prestação de contas à sociedade.","Participar de comissão ou equipe responsável pela avaliação, evitar conflitos de interesse e garantir a transparência em todas as etapas do processo.                                                                                                                    Dar publicidade de informações sobre o processo, disponibilizar relatórios de avaliação, e responder a questionamentos e solicitações de esclarecimento de forma aberta.",45352,45657,,,,Participação de comitê de inovação e Transformação Digital MT;                                                  Grupo de Trabalho da Politica de IA para Poder Executivo de Mato Grosso,,,,
R.UGENP.15,Baixo engajamento das equipes internas,Operacional,MODERADO,INERENTE,"Criar oportunidades para que os colaboradores participem ativamente, contribuam com ideias e sugestões, e se envolvam em projetos e iniciativas da empresa.",Aílton Machado,MTI,"O envolvimento dos colaboradores aumenta a motivação, a criatividade e a produtividade, além de fortalecer o senso de pertencimento e a cultura de colaboração.",Sensibilização/motivação das equipes,45352,45657,,,,Liberação para participação em palestras de tecnologia e inovação;                                Participação de Evento externo do Gartner; Participação em Eventos ,,,,
R.UGENP.16,Baixa capacidade para operacionalizar as parcerias estratégicas,Operacional,MODERADO,RESIDUAL,"Elaborar um plano estratégico que defina objetivos claros, metas mensuráveis e ações específicas para operacionalizar as parcerias estratégicas.",Aílton Machado,MTI,"Um plano de gestão estruturado orienta as atividades, alinha os esforços da equipe e facilita a execução eficaz das parcerias.",Aperfeiçoar o modelo de parcerias estratégicas a. monitorar a execução de todo o processo das parcerias estratégicas em conjuto com os parceiros.,45352,45657,,,,Aprovação des instrumentos do Regulamento de Parceria MIPP / TAP / Compliance,,,,
R.UGENP.17,Risco a oportunidade de negócios ou comprometimento da continuidade de negócios de produtos de parceria da MTI,Operacional,CRÍTICO,RESIDUAL,Identificar e avaliar os riscos que podem impactar as oportunidades de negócios e a continuidade das operações da empresa.,Aílton Machado,MTI,"A análise de riscos permite antecipar ameaças potenciais, tomar medidas preventivas e mitigar os impactos negativos nos negócios.","Realizar avaliações regulares de riscos, envolver as partes interessadas, priorizar os riscos identificados e desenvolver planos de ação para gerenciá-los.",45352,45657,,,,"Revisitação no Plano de Riscos, inerentes a UGENP",,,,
