CRITERIOS ESTRATEGIAS E PLANOS,PRATICAS DE GESTAO
02 - Os planos de ação e projetos; e seus avanços e resultados divulgados ao público-alvo.,"Para os planos de ação e projetos, a MTI possui os seguintes ambientes para divulgação:

Para o público interno
 - Intranet da MTI: Ambiente interno da MTI para acesso de todos os colaboradores. Para o PTA, tem uma página na qual é publicada informações a respeito do sistema monitora (sistema de monitoramento do PTA durante a execução), além de página contendo o histório do Relatório de Ação Governamental - RAG. Prática existente há mais de 2 anos. (anexo 1)

 - Painéis da Gestão: A MTI possui painéis desenvolvidos utilizando ferramenta do Google os quais são divulgados para equipe gerencial e são publicadas as informações de monitoramento dos instrumentos de gestão, assim como divulgadas informações / link de acesso das documentações como PTA, RAG e Sistema Monitora. Prática existente há mais de 2 anos. (anexo 2) 

- Os avanços dos projetos da área finalísticas são monitorados e divulgados em painéis de gestão - anexo 3

Para o público externo
 - RAG: a divulgação também é feita por meio do RAG, o relatório é publico e fica disponível no site da Secretaria de Estado de Planejamento e Gestão - SEPLAG, bem como na Intranet da MTI. (anexo 4)"
e) A programação orçamentária é realizada e divulgada com base nas prioridades estabelecidas ou na estratégia.,
01 - A programação orçamentária é realizada com base nas prioridades estabelecidas ou na estratégia.,"- Na MTI, antes de iniciar o planejamento orçamentário, é elaborado o plano de aquisição a fim de priorizar ao máximo os recursos públicos. O planejamento de aquisições é elaborado anualmente pelas unidades administrativas e posteriormente priorizado pela diretoria. Na planilha eletrônica para a elaboração da proposta de aquisições constam campos para alinhamento ao Plano Estratégico, bem como aos riscos. Prática consolidada em 2023. (anexo 1)

 - Na fase de elaboração do Plano de Trabalho anual - PTA são realizadas reuniões de trabalho na Diretoria a fim de priorizar os recursos (conforme atas de reunião da DIREX no anexo 2). Como insumo para o PTA é utilizado o planejamento de aquisições elaborado pelas unidades administrativas (conforme anexo 1). A MTI tem esta prática desde 2021 na qual elabora o PTA em planilha do Google de forma compartilhada para trabalho em colaboração pelos gestores. É levado em consideração os programas, metas, indicadores dos instrumentos institucionais como: Plano Estratégico - PE e Plano Plurianual - PPA, dentre outros direcionadores (conforme a aba Valores_Histórico_Por_AÇÃO). São consideradas as demandas do plano estratégico e seus projetos/iniciativas (conforme aba Orienta_1_Geral, na qual traz o link dos instrumentos que devem ser observados para elaboração do PTA). Ocorre a priorização de recursos de acordo com a capacidade liberada no teto orçamentário (nas abas de descrição de cada ação, PTA_Padronizada_2004 até aba PTA_Padronizada_2787). É elaborada uma versão 1 do planejamento do PTA pela equipe gerencial e  posteriormente é feita análise e priorização pela diretoria. Assim que recebido o teto orçamentário, são realizados novos ajustes pela equipe gerencial com aprovação da diretoria a fim de efetuar a programação em conformidade às prioridades e alinhamento ao plano estratégico. E então é feito o lançamento no sistema do FIPLAN. (anexo 2)

 - Conforme processo mapeado de ""Coordenar a Elaboração do PTA"", que traz nas regras de negócio (página 4) que: o PTA deverá estar alinhado com os seguintes instrumentos: Estratégia de Longo Prazo, Plano Plurianual, Plano Setorial de TI. (anexo 3)

 - Na fase de execução do PTA e orçamento, é utilizada planilha Reserva orçamentárias para assegurar que as prioridades de pagamento sobre os contratos vigentes seja garantida. (anexo 4)"
02 - A programação orçamentária é divulgada.,"Por meio do Plano de Trabalho Anual - PTA no qual é apresentado todo o planejamento orçamentário anual da MTI e se encontra divulgado no site da MTI - anexo 1, bem como através da avaliação anual através do RAG - Relatório da Ação Governamental - onde são divulgados os resultados, incluindo-se a respeito do orçamento - anexo 2"
CRITÉRIO PÚBLICO ALVO,
ÍTENS,Prática de Gestão
a) O perfil e os requisitos de atendimento aos cidadãos usuários estão definidos e divulgados.,
01 - O perfil e os requisitos de atendimento aos cidadãos usuários estão definidos.,"A MTI é uma empresa pública de TI do governo do estado de MT, neste sentido seu atendimento é feito essencialmente à esfera governamental:

Para o cidadão usuário:

A Ouvidoria da MTI integra a rede de Ouvidoria do Estado do MT, e está subordinada à Controladoria Geral do Estado (CGE-MT). Dessa forma, a Ouvidoria Setorial da MTI segue as normativas Federais, Estaduais e aquelas definidas pela CGE-MT, que descrevem os padrões de atendimento, requisitos e prazos.
 - Lei de acesso à Informação ( Lei nº12527/2011) - Define critérios e prazos do Serviço de Informação ao Cidadão
 - Código de Defesa dos usuários do Serviço Público (Lei Federal nº 13460/2017)- Define critérios relacionados ao funcionamento e atendimento de Ouvidoria e Dispõe sobre participação, proteção e defesa dos direitos do usuário dos serviços públicos da administração pública.
 - Decreto Estadual 806/2021 - que Regulamenta a aplicação da Lei de Acesso à Informação, no âmbito do Poder Executivo
 - Decreto Estadual 854/2021 - Dispõe sobre o uso do nome social e o reconhecimento da identidade de gênero de pessoas travestis e transexuais
 - Portaria nº 076/2022/CGE/MT - Estabelece orientações para o exercício das atividades de ouvidoria desenvolvidas pelos órgãos e entidades da Rede de Ouvidorias do Poder Executivo do Estado de Mato Grosso.
  O conjunto de evidências estão disponíveis nos arquivos iniciados como ""Anexo 1""


A MTI entrega um serviço diretamente ao cidadão-usuário que é o Certificado Digital MT.id  - disponível na carta de serviços, sendo o perfil e requisitos descritos na carta de serviços, disponível em:  (anexo 2)
https://portal.mt.gov.br/app/catalog/ciencia-tecnologia-e-inovacao/solicitar-certificado-digital-mt.id 

 - Para o perfil ""cidadão"", a unidade administrativa de Ouvidoria e Transparência gerenciou nos anos de 2022 e 2023 os seguintes indicadores operacionais: ""Número de demandas respondidas no prazo-ouvidoria"", ""100% das demandas respondidas no prazo"" e, ""Satisfação com a ouvidoria"" para 2022 e 2023.  (anexo 7)

Para os clientes:

O perfil e requisitos de atendimento estão expressos: 
 - No portifólio de produtos,  (anexo 3) 
 - Contratos de prestação de serviços 2022,  (anexo 4)
 - Contratos de prestação de serviços 2023,  (anexo 5)
 - A MTI, em 2022 e 2023 com base no indicador estratégico: Elevar o nível de satisfação do cliente e de imagem institucional da MTI, realizou pesquisa de satisfação e imagem com públicos, tais  como:  líderes de governo, gestores de TI, parceiros, fornecedores e cidadãos. A pesquisa é utilizada como insumo no momento de revisão anual do PE - Plano Estratégico. Desta forma, o indicador estratégico que foi gerenciado em 2022 e 2023 é descrito como ""Índice de Satisfação e imagem""  (anexo 6)"
02 - O perfil e os requisitos de atendimento aos cidadãos usuários estão divulgados.,"Para o cidadão usuário:
 - Para o serviço da Ouvidoria Setorial, as normas e regulamentos que definem o perfil e requisitos estão divulgadas no site institucional da MTI, link: https://www.mti.mt.gov.br/normas-e-regulamentos. (anexo 1)

 - Canais de atendimento da ouvidoria estão disponíveis  link: https://www.mti.mt.gov.br/canais-de-atendimento (anexo 2)

 - Para o cidadão-usuário: O perfil e requisitos do serviço ""Certificado Digital MT.id"" estão divulgados no Portal de Serviços de Mato Grosso,  no link: https://portal.mt.gov.br/app/catalog/ciencia-tecnologia-e-inovacao/solicitar-certificado-digital-mt.id (anexo 3)


Para os clientes
 - Para os clientes: a divulgação está restrita ao relacionamento entre a MTI e o contratado,  divulgando um extrato dos contratos no portal de transparência através do link: https://consultas.transparencia.mt.gov.br/compras/contratos/ . Esta prática existe há mais de 2 anos. Desta forma, os requisitos pactuados com esta parte interessada é descrita no inteiro teor do referido contrato e demais instrumentos de gestão a partir deste contrato. (anexo 4)"
b) As necessidades ou expectativas dos cidadãos-usuários estão identificadas e divulgadas.,
01 - As necessidades ou expectativas dos cidadãos-usuários estão identificadas.,"Para os clientes - usuários

 - No serviço de Ouvidoria, as necessidades e expectativas dos cidadãos-usuários são identificadas através das demandas tratadas pela Ouvidoria Setorial. Os cidadãos têm a oportunidade de manifestar suas necessidades por meio de solicitações, denúncias, reclamações e elogios. Além disso, ao final do atendimento, eles podem avaliar a qualidade do atendimento recebido por meio do sistema de Ouvidoria Fale Cidadão e de um formulário de pesquisa do Google, disponibilizado via atendimento por WhatsApp. Prática existente há mais de 2 anos. As necessidades e expectativas dos cidadãos - usuários são comprovadas por meio dos relatórios de gestão de ouvidoria, e disponíveis no site da MTI. Esses relatórios podem ser acessados por meio do link: https://www.mti.mt.gov.br/relatorios . Prática existente há mais de 2 anos (anexo 1)

 - A MTI é uma empresa pública que fornece produtos e serviços para a administração pública. Nosso público-alvo principal são os clientes do governo, e, por isso, é fundamental identificar e divulgar suas necessidades e expectativas (reservadas as informações expressas em lei ou em contratos). Anualmente, a MTI realiza a Pesquisa Institucional de Imagem e Satisfação, permitindo que os clientes avaliem sua satisfação com a empresa e identifiquem pontos de melhoria. Além dos clientes, a pesquisa também abrange outros grupos, como fornecedores, parceiros e cidadãos-usuários. Esta pesquisa é utilizada como um dos insumos para a revisão anual do Plano Estratégico e é realizada desde 2022. (anexo 2)"
02 - As necessidades ou expectativas dos cidadãos-usuários estão divulgadas.,"
Para os clientes
 - A divulgação dos relatórios de pesquisa são feitas de forma resumida no site da MTI, disponível em: https://www.mti.mt.gov.br/pesquisa-de-imagem . A prática ocorre há mais de 2 anos. (anexo 1)

Para o cidadão usuário
 - As necessidades e expectativas dos cidadãos-usuários são divulgadas nos relatórios de gestão de ouvidoria, disponíveis no site da MTI. Esses relatórios podem ser acessados por meio do link:  https://www.mti.mt.gov.br/relatorios. Prática existente a mais de 2 anos (anexo 2)"
"c) A instituição dispõe de canais de relacionamento compatíveis com o perfil dos cidadãos usuários, fornecedores e parceiros.",
01 - A instituição dispõe de canais de relacionamento compatíveis com o perfil dos cidadãos usuários.,"A instituição dispõe dos canais de relacionamento. Estes instrumentos estão disponiveis e são compatíveis com o perfil dos cidadãos usuários. Tais canais são atualizados rotineiramente pela equipe gerencial. Trata-se de prática consolidada há mais de 2 anos.

Para o cidadão usuário

 -  A instituição dispõe dos seguintes canais de relacionamento: 
A Ouvidoria da MTI integra a rede de Ouvidoria do Estado do MT, e está subordinada à Controladoria Geral do Estado (CGE-MT). Dessa forma, a MTI dispõe de múltiplas formas de contato para este tipo de atendimento, visando alcançar todos os perfis de usuários. Oferecemos atendimento presencial, por e-mail, telefone fixo funcional, WhatsApp e diretamente pelo Sistema de Ouvidoria ""Fale Cidadão"", disponível no site da MTI, no site da Ouvidoria Geral do Estado e no aplicativo governamental ""MT Cidadão"", além dos contatos da Ouvidoria Geral do Estado. disponível pelo link: https://www.mti.mt.gov.br/canais-de-atendimento. (anexo 1)

Canal de suporte ao app MT Cidadão, disponível diretamente no aplicativo. Disponível há mais de 2 anos. (anexo 1)

Para os Clientes

 - A MTI é uma empresa pública que fornece produtos e serviços para a administração pública. Nosso público-alvo principal são os clientes, e, por isso, é fundamental dispor de canais de relacionamento para esse público. Dessa forma,  a MTI dispõe dos seguintes canais de relacionamento: Central de Atendimento da MTI por meio do link https://atendimento.mti.mt.gov.br/ti e-mail centraldeatendimento@mti.mt.gov.br,  telefone (65) 3613 3003,   contatos da Diretoria de Relacionamento com o Cliente - DIRC, no site da MTI. Por meio da página de contato disponível no site do Marketplace da MTI por meio do link  : https://marketplace.mti.mt.gov.br/site/contato  e pelo e.mail: comercial@mti.mt.gov.br (anexo 2)"
02 - A instituição dispõe de canais de relacionamento compatíveis com o perfil dos fornecedores.," - A MTI possui em sua estrutura a Unidade de Gestão de Aquisições e Contratos (UGACO)com a respectiva Gerência de Aquisições que tem competência de manter o relacionamento com fornecedores. (anexo 1)

 - O canal utilizado para contato com fornecedor é o email ""aquisicao@mti.mt.gov.br"" que é divulgado no edital por meio da cláusula nº 5 (item 5.2)- Esclarecimentos (divulgado nos editais de 2022 e 2023) publicados no site da MTI. O fornecedor também faz uso do sistema SIAG - Sistema de Aquisições Governamentais do Governo para contato com a MTI. (anexo 2)

 - O fornecedor também pode entrar em contato com a MTI por meio do Canal da Ouvidoria (fale cidadão) disponível no link: https://www.mti.mt.gov.br/canais-de-atendimento  (anexo 3)

 - Também está disponível no site da MTI uma lista ""quem é quem"" no qual tem os contatos da equipe de gestores da MTI:  link: https://www.mti.mt.gov.br/quem-e-quem- ou diretamente pelo email ugaco@mti.mt.gov.br, telefone 65 36133012  (anexo 4)"
03 - A instituição dispõe de canais de relacionamento compatíveis com o perfil dos parceiros.," - A MTI possui unidade responsável pelo processo de parcerias estratégicas e possui e-mail para contato dos parceiros, e-mail da inovação: inovacao@mti.mt.gov.br. Além de página específica no site para contato: https://marketplace.mti.mt.gov.br/site/parcerias . (anexo 1) 

 - Os parceiros também podem entrar em contato com a MTI por meio do Canal da Ouvidoria (fale cidadão) disponível no link: https://www.mti.mt.gov.br/canais-de-atendimento (anexo 2)

 - Também está disponível no site da MTI uma lista ""quem é quem"" no qual tem os contatos da equipe de gestores da MTI:  link: https://www.mti.mt.gov.br/quem-e-quem-.  (anexo 3)

 - A MTI realiza eventos de lançamentos de produtos, como eventos especificos para seus clientes. (anexo 4)"
d) A Carta de Serviços ao Cidadão é divulgada e os compromissos formalizados são monitorados.,
01 - A Carta de Serviços ao Cidadão é divulgada.,"A Carta de Serviços ao Cidadão é divulgada aos interessados através do portal da MTI no  - Link: https://www.mti.mt.gov.br/carta-de-servicos. Sua atualização é periódica, sendo revisada nos anos de 2021 e 2022 e, sua publicação está disponível desde o exercício de 2021. Em 2023 permaneceu vigente a de 2022. A carta também está disponível no portal de serviços do Governo do Estado.  Link: https://portal.mt.gov.br/app/catalog/list/orgao/empresa-matogrossense-de-tecnologia-da-informacao# 
As evidências podem ser observadas nos arquivos descritos no anexo 1."
02 - Os compromissos formalizados na Carta de Serviços ao Cidadão são monitorados.,"A MTI monitora os compromissos formalizados na Carta de Serviços ao Cidadão, através dos seguintes instrumentos:
 - Relatório da ouvidoria de 2022 e 2023 (anexo 1), nos quais demonstram as mensagens recebidas por meio do canal de ouvidoria em relação aos serviços prestados pela MTI, além de informações de acesso e números de serviços disponibilizados no aplicativo MT Cidadão.
- Na época da reestruturação da carta de serviços foi instituída portaria/comissão de trabalho - para atuação neste processo - anexo 2
- Durante este ciclo avaliativo 2022-2023, selecionamos um conjunto de emails em tela - apresentando o tratamento deste assunto durante este período - anexo 3
"
e) A qualidade do atendimento aos cidadãos-usuários é avaliada e divulgada com base em padrões de desempenho preestabelecidos.,
01 - A qualidade do atendimento aos cidadãos-usuários é avaliada com base em padrões de desempenho preestabelecidos.,"A Ouvidoria da MTI integra a rede de Ouvidoria do Estado do Mato Grosso (MT) e está subordinada à Controladoria Geral do Estado (CGE-MT). Dessa forma, a Ouvidoria Setorial da MTI segue as normativas federais, estaduais e aquelas definidas pela CGE-MT (Controladoria Geral do Estado), que descrevem os padrões de atendimento, requisitos e prazos.

A ouvidoria adota padrões de trabalho, sendo um deles definido através do Padrão de Mapeamento de Processos denominado PMP - ""Denúncias, reclamações, sugestões, elogios, solicitações e pedidos de informação"", que estabelece que a meta  da Ouvidoria Setorial é alcançar 100% de avaliações positivas recebidas. (anexo 1)

Considerando o perfil da organização, organizamos a resposta dentro dos públicos atendidos, cidadão usuário e clientes, a saber

Para o cidadão usuário

 - No serviço de Ouvidoria, as necessidades e expectativas dos cidadãos-usuários são identificadas através das demandas tratadas pela Ouvidoria Setorial. Os cidadãos têm a oportunidade de manifestar suas necessidades por meio de solicitações, denúncias, reclamações e elogios. Além disso, ao final do atendimento, eles podem avaliar a qualidade do atendimento recebido por meio do sistema de Ouvidoria Fale Cidadão e de um formulário de pesquisa do Google, disponibilizado via atendimento por WhatsApp. Os cidadãos-usuários podem se manifestar por meio dos diversos canais de atendimento da Ouvidoria. Essas manifestações são recebidas e tratadas pela equipe da Ouvidoria Setorial, que segue os padrões estabelecidos pelas normativas da CGE-MT. As demandas seguem um controle do tempo de atendimento, que devem ser concluídas em até 30 dias, podendo prorrogar por mais 30 dias. O monitoramento do cumprimento desse padrão é realizado pela equipe da ouvidoria e avaliado através dos Relatórios de Gestão de Ouvidoria, bem como através do gerenciamento da Prática de Gestão de Indicadores operacionais, neste caso indicador denominado de ""Numero de demandas respondidas no prazo"". Estas evidências estão nos arquivos do ""anexo 2...""


Para os Clientes

A MTI é uma empresa pública que fornece produtos e serviços para a administração pública. Nosso público-alvo principal são os clientes, e, por isso, é fundamental identificar sua satisfação com a qualidade dos produtos entregues e atendimento recebido, sendo assim a pesquisa de satisfação é essencial para a melhoria do atendimento e serviços prestados. A prática da pesquisa de imagem e satisfação ocorre já mais de 2 anos e pode ser observada nos arquivos do ""anexo 3..."")"
02 - A qualidade do atendimento aos cidadãos-usuários é divulgada.,"Para os Clientes
 - A qualidade do atendimento aos usuários - clientes é divulgado anualmente através de aplicação de pesquisas que aferem o índice de satisfação e imagem da MTI. Esta prática está em uso desde 2022. (anexo 1) 

Para o cidadão usuário
 - A qualidade do atendimento aos cidadãos - usuários é divulgados através do Relatório  de Ouvidoria que disponibiliza indicadores de cumprimento de prazo e  satisfação. (anexo 2)

 - Os relatórios são divulgados no site institucional da MTI. Prática existente a mais de 2 anos. (anexo 3)

 - Além disso os indicadores também são divulgados através do Relatório de Gestão da Ouvidoria Geral, Link: https://www.cge.mt.gov.br/relat%C3%B3rios que apresenta informações e dados de todas os órgãos  que integram a rede de ouvidorias do Poder Executivo, incluindo a MTI. (anexo 4)"
"f) As demandas (solicitações, reclamações, reivindicações ou denúncias) dos cidadãos-usuários são tratadas e os seus resultados são informados aos demandantes em tempo hábil.",
"01 - As demandas (solicitações, reclamações, reivindicações ou denúncias) dos cidadãos-usuários são tratadas.","Para o cidadão usuário
As demandas  dos cidadãos-usuários são tratadas, dentro dos prazos previstos nas normativas, utilizando os seguintes canais: sistema fale cidadão, sistema ouvidoria, e-mail ouvidoria. Link canais de atendimento: https://www.mti.mt.gov.br/canais-de-atendimento

 - Essas demandas são recebidas e tratadas pela equipe da Ouvidoria Setorial, que monitora o atendimento da manifestação no prazo de até 30 dias. (anexo 1)

 - Na MTI Padrão de Mapeamento de Processos (PMP): Gerir denúncias, reclamações, sugestões, elogios, solcitações e pedido de informações, coom o objetivo  de detalhar os processos recebidos via Sistema Fale Cidadão, padronizando os trâmites até sua finalização (recebe, registra, identifica, analisa, encmainha, monitora, responde e publica). (anexo 2)

 - O monitoramento do cumprimento do prazo é realizado  através dos Relatórios de Gestão de Ouvidoria, documento   disponivel no site da MTI, no link https://www.mti.mt.gov.br/relatorios, (anexo 3) bem como,  através do gerenciamento e acompanhamento mensal, do Indicador operacional denominado ""Número de demandas respondidas no prazo"". (anexo 4)"
